排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
724,300268.SZ,*ST佳沃,45.5,46.1,40.0,52.1,偏空震荡,13.14,14.28,中等风险
725,300311.SZ,ST任子行,45.5,39.1,46.0,54.9,偏多震荡,5.32,5.80,中等风险
726,300458.SZ,全志科技,45.5,64.5,24.1,44.9,看跌,40.75,43.13,中等风险
727,300775.SZ,三角防务,45.5,53.2,34.0,49.1,偏空震荡,36.90,40.23,高风险
728,300966.SZ,共同药业,45.5,39.1,51.1,48.0,震荡整理,20.65,22.09,中等风险
729,300374.SZ,中铁装配,45.4,37.9,50.3,50.7,震荡整理,15.25,16.45,中等风险
730,300617.SZ,安靠智电,45.4,42.3,46.3,49.0,偏空震荡,40.86,49.98,高风险
731,300699.SZ,光威复材,45.4,50.2,39.8,45.4,偏空震荡,38.50,40.22,高风险
732,300632.SZ,光莆股份,45.4,39.6,50.0,48.4,偏空震荡,13.39,14.36,中等风险
733,300421.SZ,力星股份,45.3,45.4,44.0,47.0,偏空震荡,26.80,29.63,高风险
734,300720.SZ,海川智能,45.2,45.7,43.2,47.1,偏空震荡,31.50,33.30,高风险
735,300298.SZ,三诺生物,45.1,51.9,33.1,50.9,看跌,17.60,18.24,中等风险
736,300773.SZ,拉卡拉,45.1,41.5,47.7,47.2,震荡整理,25.17,27.97,高风险
737,300444.SZ,双杰电气,45.0,49.2,40.0,45.4,偏空震荡,13.25,15.89,高风险
738,300007.SZ,汉威科技,45.0,50.4,38.8,45.0,偏空震荡,52.48,56.10,中等风险
739,300264.SZ,佳创视讯,45.0,36.8,53.0,46.8,震荡整理,8.73,9.87,高风险
740,300358.SZ,楚天科技,45.0,55.1,27.4,53.4,震荡整理,10.61,11.43,中等风险
741,300540.SZ,蜀道装备,45.0,43.8,38.8,55.7,震荡整理,20.82,23.92,高风险
742,300745.SZ,欣锐科技,45.0,48.2,31.2,59.3,震荡整理,25.54,27.84,中等风险
743,300552.SZ,万集科技,44.9,44.0,38.7,55.2,偏空震荡,32.62,35.42,中等风险
744,300751.SZ,迈为股份,44.9,42.4,46.6,46.5,震荡整理,249.85,319.09,高风险
745,300080.SZ,易成新能,44.8,44.0,45.5,45.3,偏空震荡,4.79,5.18,高风险
746,300820.SZ,英杰电气,44.8,47.5,40.1,47.2,偏空震荡,54.12,58.51,高风险
747,300482.SZ,万孚生物,44.8,46.8,40.2,48.1,偏空震荡,20.32,20.65,中等风险
748,300478.SZ,杭州高新,44.7,34.0,54.2,48.7,震荡整理,23.48,25.52,中等风险
749,300737.SZ,科顺股份,44.5,40.4,47.2,47.2,震荡整理,6.31,7.51,高风险
750,300931.SZ,通用电梯,44.5,34.0,53.0,49.2,震荡整理,12.12,13.62,高风险
751,300501.SZ,海顺新材,44.4,42.0,41.6,52.3,偏空震荡,15.07,15.85,中等风险
752,300447.SZ,全信股份,44.4,46.2,40.0,47.7,偏空震荡,18.46,20.25,高风险
753,300708.SZ,聚灿光电,44.4,57.2,27.4,47.9,偏空震荡,9.71,10.09,中等风险
754,300053.SZ,航宇微,44.3,36.8,52.0,45.5,震荡整理,18.29,22.11,高风险
755,300166.SZ,东方国信,44.3,34.1,55.9,44.2,震荡整理,13.26,15.50,高风险
756,300340.SZ,科恒股份,44.3,35.8,50.0,49.8,偏空震荡,11.60,12.41,中等风险
757,300523.SZ,辰安科技,44.3,34.4,53.7,47.1,震荡整理,23.03,25.37,高风险
758,300525.SZ,博思软件,44.3,41.9,44.4,47.9,偏空震荡,12.66,13.23,中等风险
759,300276.SZ,三丰智能,44.2,46.0,41.6,44.9,看跌,8.25,8.88,中等风险
760,300663.SZ,科蓝软件,44.2,36.8,50.0,47.8,偏空震荡,16.52,17.60,中等风险
