排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
66,688193.SH,仁度生物,67.1,57.5,89.4,51.2,看涨,52.19,54.55,中等风险
67,300485.SZ,赛升药业,67.0,64.7,83.8,47.3,偏多震荡,10.86,11.66,中等风险
68,603408.SH,建霖家居,67.0,63.5,83.8,48.9,偏多震荡,13.09,13.88,中等风险
69,600666.SH,奥瑞德,66.9,72.1,70.8,53.3,看涨,3.80,3.98,高风险
70,603167.SH,渤海轮渡,66.9,61.6,83.8,51.6,看涨,9.45,9.69,低风险
71,002947.SZ,恒铭达,66.8,70.0,70.2,56.9,看涨,47.48,51.63,中等风险
72,601919.SH,中远海控,66.7,63.9,76.6,57.5,看涨,14.21,14.69,低风险
73,300740.SZ,水羊股份,66.7,55.5,83.8,60.8,看涨,23.09,24.91,中等风险
74,600163.SH,中闽能源,66.6,58.8,89.4,47.1,看涨,5.83,6.02,中等风险
75,002096.SZ,易普力,66.6,60.8,83.8,51.9,看涨,13.67,14.29,中等风险
76,603725.SH,天安新材,66.6,59.6,83.8,53.6,看涨,9.90,10.48,中等风险
77,605020.SH,永和股份,66.6,69.8,70.6,55.7,看涨,27.56,29.54,中等风险
78,301115.SZ,联检科技,66.6,55.5,89.4,52.4,看涨,18.34,19.38,中等风险
79,603282.SH,亚光股份,66.5,65.0,83.8,44.6,看涨,21.16,21.87,中等风险
80,300241.SZ,瑞丰光电,66.4,54.1,89.4,54.0,看涨,6.05,6.30,中等风险
81,002686.SZ,亿利达,66.3,48.7,95.0,54.4,看涨,6.79,7.01,中等风险
82,603538.SH,美诺华,66.3,61.5,81.5,52.9,看涨,20.68,22.38,中等风险
83,603326.SH,我乐家居,66.3,63.8,81.5,49.2,看涨,9.90,10.50,中等风险
84,600184.SH,光电股份,66.2,60.0,82.0,54.0,看涨,17.86,19.27,中等风险
85,300296.SZ,利亚德,66.2,57.1,89.4,48.2,看涨,7.10,7.46,中等风险
86,300326.SZ,ST凯利,66.2,60.9,81.5,53.4,看涨,6.09,6.33,低风险
87,002746.SZ,仙坛股份,66.2,67.2,77.3,49.0,看涨,6.21,6.46,中等风险
88,603022.SH,新通联,66.2,56.0,89.4,49.9,看涨,11.31,11.76,中等风险
89,600016.SH,民生银行,66.1,59.9,88.2,45.0,偏多震荡,3.88,3.99,低风险
90,002537.SZ,海联金汇,66.1,56.0,89.4,49.6,看涨,8.90,9.36,中等风险
91,002556.SZ,辉隆股份,66.1,54.8,83.8,59.4,看涨,6.15,6.61,中等风险
92,600455.SH,博通股份,66.0,55.1,89.4,50.6,看涨,28.83,29.87,中等风险
93,600519.SH,贵州茅台,66.0,65.2,81.5,45.7,偏多震荡,1452.02,1568.00,中等风险
94,600757.SH,长江传媒,66.0,62.5,82.0,49.2,看涨,8.97,9.37,中等风险
95,300292.SZ,吴通控股,66.0,56.4,89.4,48.6,看涨,4.71,5.00,中等风险
96,603313.SH,梦百合,66.0,64.0,74.1,57.9,看涨,9.14,10.02,中等风险
97,003033.SZ,征和工业,66.0,61.1,82.0,51.6,看涨,67.61,73.47,中等风险
98,301035.SZ,润丰股份,66.0,66.8,74.1,53.4,看涨,78.65,85.52,中等风险
99,301031.SZ,中熔电气,66.0,74.0,64.6,55.3,看涨,141.58,157.13,中等风险
100,000537.SZ,绿发电力,65.9,56.5,83.8,55.7,看涨,8.46,8.80,中等风险
101,000757.SZ,浩物股份,65.9,61.2,81.5,51.5,看涨,5.12,5.35,中等风险
102,600233.SH,圆通速递,65.9,57.9,81.5,57.0,看涨,17.52,18.35,中等风险
103,600360.SH,*ST华微,65.9,56.3,89.4,48.2,看涨,8.83,9.15,中等风险
104,002587.SZ,奥拓电子,65.9,57.0,89.4,47.1,看涨,6.86,7.16,中等风险
105,300585.SZ,奥联电子,65.9,55.2,89.4,50.1,偏多震荡,17.75,18.79,中等风险
106,601528.SH,瑞丰银行,65.9,60.9,82.2,51.2,看涨,5.40,5.61,低风险
107,688526.SH,科前生物,65.9,67.7,74.1,51.7,看涨,15.96,16.94,中等风险
108,603202.SH,天有为,65.9,65.8,80.2,46.1,看涨,92.08,94.50,低风险
109,601888.SH,中国中免,65.8,53.6,86.3,56.5,看涨,92.14,97.67,中等风险
