排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
1,600519.SH,贵州茅台,66.0,65.2,81.5,45.7,偏多震荡,1452.02,1568.00,中等风险
2,000333.SZ,美的集团,63.5,64.2,75.9,44.9,偏多震荡,77.36,80.74,低风险
3,300750.SZ,宁德时代,61.9,64.2,70.3,46.5,震荡整理,352.17,378.51,中等风险
4,601318.SH,中国平安,61.9,63.6,60.4,61.3,看涨,63.90,68.90,中等风险
5,600900.SH,长江电力,61.4,55.5,66.9,63.2,看涨,25.72,26.71,低风险
6,300502.SZ,新易盛,57.4,76.8,46.4,41.6,震荡整理,331.54,400.68,高风险
7,600036.SH,招商银行,55.8,58.2,50.0,60.1,偏多震荡,38.23,39.89,低风险
8,300308.SZ,中际旭创,51.3,76.2,27.2,45.3,看跌,525.13,558.52,高风险
9,601166.SH,兴业银行,50.7,56.2,36.5,61.9,偏多震荡,18.07,18.91,低风险
10,601899.SH,,-1.0,-1.0,-1.0,-1.0,数据异常,None,None,
